ELECTORS :,61728 VOTERS  : 48879,,POLL PERCENTAGE  :,79.18%,VALID VOTES,47787
Constituency,73 HISSAR,,,,,
1 .,GULAB SINGH,,M,INC,22533,48.40%
2 .,BALWANT RAI,,M,NCO,20869,44.83%
3,,,,,,
No.,CANDIDATE,,SEX,PARTY,VOTES,%
3 .,ATMA RAM,,M,IND,2027,4.35%
4 .,FAQIR CHAND,,M,IND,700,1.50%
5 .,MAI LAL,,M,IND,300,0.64%
6 .,RAGHBIR SINGH,,M,IND,122,0.26%
ELECTORS :,68195 VOTERS  : 47476,,POLL PERCENTAGE  :,69.62%,VALID VOTES,46551
Constituency,74 BARWALA (SC),,,,,
1 .,PIR CHAND,,M,NCO,20659,46.72%
2 .,NEKI RAM,,M,INC,19219,43.47%
3 .,CHHABIL DASS,,M,IND,3174,7.18%
4 .,SAVITRI,,F,RPI,909,2.06%
5 .,GAJE SINGH,,M,SOP,255,0.58%
ELECTORS :,64335 VOTERS  : 45508,,POLL PERCENTAGE  :,70.74%,VALID VOTES,44216
Constituency,75 TOHANA,,,,,
1 .,HARPAL SINGH,,M,INC,27907,63.47%
2 .,SAMPURAN SINGH,,M,CPI,9756,22.19%
3 .,MANPHUL SINGH,,M,IND,5302,12.06%
4 .,JAGAT RAM,,M,IND,1002,2.28%
ELECTORS :,65074 VOTERS  : 45326,,POLL PERCENTAGE  :,69.65%,VALID VOTES,43967
Constituency,76 FATEHABAD,,,,,
1 .,POKHAR RAM,,M,INC,30925,55.88%
2 .,GOBIND RAI,,M,IND,23366,42.22%
3 .,RATTAN SINGH,,M,IND,1049,1.90%
ELECTORS :,74145 VOTERS  : 56917,,POLL PERCENTAGE  :,76.76%,VALID VOTES,55340
Constituency,77 BADOPAL,,,,,
1 .,MEHAR CHAND,,M,INC,23490,55.56%
2 .,PIRTHI,,M,IND,12245,28.96%
3 .,SHEO BAKSH,,M,RPI,2983,7.06%
4 .,HARPHIL SINGH,,M,SOP,2075,4.91%
5 .,TEK CHAND,,M,IND,1486,3.51%
ELECTORS :,61296 VOTERS  : 43494,,POLL PERCENTAGE  :,70.96%,VALID VOTES,42279
Constituency,78 SIRSA,,,,,
1 .,PREMSUKH DASS,,M,INC,22205,50.16%
2 .,LACHMAN DASS,,M,IND,19889,44.93%
3 .,BIRBAL RAM,,M,IND,2170,4.90%
ELECTORS :,61387 VOTERS  : 45222,,POLL PERCENTAGE  :,73.67%,VALID VOTES,44264
Constituency,79 RORI,,,,,
1 .,HARKISHAN LAL,,M,INC,26581,51.82%
2 .,SAHIB SINGH,,M,IND,11774,22.95%
3 .,DARA SINGH,,M,IND,11255,21.94%
4 .,AMIR CHAND,,M,IND,1201,2.34%
5 .,HARDEV SINGH,,M,INC,484,0.94%
ELECTORS :,71470 VOTERS  : 52524,,POLL PERCENTAGE  :,73.49%,VALID VOTES,51295
