CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
6 7 SURENDER,,M 35 GEN BJP,5791 0,5791,6.03
11 8 TILAK RAJ,,M 33 SC IND,3869 0,3869,4.03
13 9 PAWAN KUMAR,,M 49 GEN IND,1185 0,1185,1.23
15 10 MUKESH BALMIKI,,M 28 SC IND,566 0,566,0.59
8 11 RAMESH,,M 42 GEN BSKP,454 0,454,0.47
9 12 RAJESH KUMAR,,M 25 GEN VAJP,364 0,364,0.38
14 13 BIJENDER,,M 48 GEN IND,355 0,355,0.37
5 14 SATINDER SINGH,,M 41 GEN NCP,270 0,270,0.28
7 15 ARYA AJAY SINGH,,M 40 GEN RARS,235 0,235,0.24
,TOTAL:,96020 10,96030,76.00
Turn Out,,,,,
Constituency 25. Panipat City,,,TOTAL ELECTORS :,144053,
2 1 BALBIR PAL SHAH,,M 64 GEN INC,36294 0,36294,38.42
5 2 SANJAY BHATIA,,M 42 GEN BJP,24135 0,24135,25.55
6 3 SURESH MITTAL,,M 47 GEN INLD,21949 0,21949,23.24
4 4 VINOD WADHERA,,M 52 GEN HJCBL,5953 0,5953,6.30
1 5 KAPIL,,M 29 GEN BSP,3259 0,3259,3.45
3 6 RANJEET BHOLA,,M 27 GEN NCP,659 0,659,0.70
12 7 SUSHEEL SHARMA,,M 43 GEN IND,476 0,476,0.50
7 8 DHARAM PAL BHATT MASTER,,M 67 GEN RGD,466 0,466,0.49
9 9 GAUTAM RAJ SINGLA,,M 48 GEN IND,409 0,409,0.43
11 10 RAMESH SINGLA,,M 45 GEN IND,369 0,369,0.39
8 11 NARESH KASHYAP,,M 44 GEN LNP,317 0,317,0.34
10 12 PREM CHAND MITTAL,,M 54 GEN IND,169 0,169,0.18
,TOTAL:,94455 0,94455,65.57
Turn Out,,,,,
Constituency 26. Israna,(SC),,TOTAL ELECTORS :,128894,
3 1 KRISHAN LAL PANWAR,,M 51 SC INLD,43895 10,43905,46.27
4 2 BALBIR,,M 35 SC INC,41720 5,41725,43.97
1 3 KULDEEP,,M 44 SC BSP,5102 0,5102,5.38
6 4 SATPAL S/O BHAGTU,,M 48 SC BJP,1065 0,1065,1.12
2 5 KRISHAN LAL LOHARI,,M 54 SC CPI,1042 0,1042,1.10
5 6 RAKESH SAROHA,,M 39 SC HJCBL,1007 0,1007,1.06
9 7 ROHTAS,,M 45 SC IND,452 0,452,0.48
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
8 8 SATPAL S/O MANGA RAM,,M 39 SC UKSP,366 0,366,0.39
7 9 RAM NIWAS,,M 33 SC SMBHP,225 0,225,0.24
,TOTAL:,94874 15,94889,73.62
Turn Out,,,,,
Constituency 27. Samalkha,,,TOTAL ELECTORS :,143332,
2 1 DHARM SINGH,,M 48 GEN HJCBL,39459 4,39463,35.19
5 2 SANJAY CHHOKER,,M 39 GEN INC,26006 6,26012,23.20
4 3 MANOJ JAURASI,,M 36 GEN INLD,25441 7,25448,22.69
3 4 MANMOHAN BHADANA,,M 27 GEN BSP,8334 0,8334,7.43
7 5 HARI SINGH NALWA,,M 79 GEN NCP,8166 0,8166,7.28
1 6 ANJU RANI,,F 47 GEN BJP,1415 0,1415,1.26
11 7 NARENDER SINGH,,M 30 GEN IND,890 0,890,0.79
12 8 RAFAQAT,,M 25 GEN IND,849 0,849,0.76
6 9 SUNIL,,M 37 GEN CPM,845 0,845,0.75
8 10 ARYA SANT RAM RAWAL,,M 40 GEN RARS,312 0,312,0.28
10 11 DINESH SHARMA,,M 35 GEN IND,225 0,225,0.20
9 12 KISHAN CHAND,,M 70 GEN IND,183 0,183,0.16
,TOTAL:,112125 17,112142,78.24
Turn Out,,,,,
Constituency 28. Ganaur,,,TOTAL ELECTORS :,127556,
2 1 KULDEEP SHARMA,,M 53 GEN INC,42180 0,42180,46.01
3 2 KRISHAN GOPAL TYAGI,,M 69 GEN INLD,32142 2,32144,35.06
5 3 NIRMAL RANI,,F 41 GEN HJCBL,9562 0,9562,10.43
1 4 AZAD SINGH,,M 47 GEN BJP,4907 3,4910,5.36
6 5 KRISHAN KUMAR,,M 43 GEN SP,1158 0,1158,1.26
9 6 JITENDER NANDAL,,M 42 GEN IND,582 0,582,0.63
4 7 NARENDER,,M 26 GEN NCP,481 3,484,0.53
8 8 MAHESH ACHARYA,,M 37 GEN RARS,308 0,308,0.34
10 9 RAJKUMAR,,M 41 GEN IND,256 0,256,0.28
7 10 GULAB SINGH DANGI,,M 57 GEN HJD,101 0,101,0.11
,TOTAL:,91677 8,91685,71.88
Turn Out,,,,,
Constituency 29. Rai,,,TOTAL ELECTORS :,124163,
2 1 JAI TIRATH,,M 57 GEN INC,35512 2,35514,41.12
1 2 INDERJIT,,M 63 GEN INLD,30848 0,30848,35.72
4 3 RANJIT SINGH,,M 51 GEN HJCBL,10335 1,10336,11.97
3 4 NARAYAN DUTT,,M 35 GEN BSP,4747 0,4747,5.50
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
5 5 RAJPAL,,M 51 GEN BJP,2740 0,2740,3.17
11 6 SUSHIL KUMAR ALIAS BINNU,,M 33 GEN IND,679 0,679,0.79
10 7 RAVINDER NATH,,M 56 GEN IND,479 0,479,0.55
8 8 COMRED DEVENDER SINGH,,M 45 GEN IND,337 0,337,0.39
9 9 BIJENDER KUMAR,,M 31 SC IND,319 0,319,0.37
6 10 ISHWAR,,M 56 GEN LJP,236 0,236,0.27
7 11 KRISHAN KUMAR,,M 30 GEN RPI(A),122 0,122,0.14
,TOTAL:,86354 3,86357,69.55
Turn Out,,,,,
Constituency 30. Kharkhauda,,(SC),TOTAL ELECTORS :,119988,
2 1 JAIVEER,,M 47 SC INC,43684 0,43684,64.07
5 2 RAJU,,M 37 SC INLD,18400 0,18400,26.99
6 3 RAM NIWAS,,M 44 SC BJP,2224 0,2224,3.26
4 4 RAJVIR,,M 59 SC BSP,2110 0,2110,3.09
3 5 MAHAVIR SINGH KALON,,M 51 SC HJCBL,923 0,923,1.35
7 6 PHOOL SINGH,,M 72 SC IND,544 0,544,0.80
1 7 JAGDISH,,M 36 SC NCP,299 0,299,0.44
,TOTAL:,68184 0,68184,56.83
Turn Out,,,,,
Constituency 31. Sonipat,,,TOTAL ELECTORS :,130175,
2 1 KAVITA JAIN,,F 34 GEN BJP,37947 7,37954,46.44
1 2 ANIL KUMAR THAKKAR,,M 46 GEN INC,35282 15,35297,43.19
6 3 SUSHIL JOGI,,M 32 GEN INLD,4407 4,4411,5.40
3 4 KHURSHID,,M 43 GEN BSP,2134 0,2134,2.61
4 5 SATBIR,,M 46 GEN HJCBL,645 0,645,0.79
10 6 JOGINDER,,M 35 GEN IND,514 0,514,0.63
8 7 JAIBIR SAIN,,M 39 GEN SMBHP,287 0,287,0.35
9 8 VINOD KUMAR,,M 25 GEN RPI(A),258 0,258,0.32
7 9 OM PARKASH MEHTA,,M 45 GEN BHC,140 0,140,0.17
5 10 SURENDER,,M 39 GEN NCP,94 0,94,0.12
,TOTAL:,81708 26,81734,62.79
Turn Out,,,,,
Constituency 32. Gohana,,,TOTAL ELECTORS :,128991,
3 1 JAGBIR SINGH MALIK,,M 59 GEN INC,35247 2,35249,42.48
2 2 ATUL MALIK,,M 33 GEN INLD,22229 4,22233,26.80
9 3 KITAB SINGH,,M 68 GEN IND,9816 0,9816,11.83
5 4 NATHA SINGH,,M 59 GEN BJP,7234 0,7234,8.72
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
6 5 MUKESH TAYAL,,M 46 GEN HJCBL,3897 0,3897,4.70
4 6 JITENDER SHARMA (GUDHA),,M 27 GEN BSP,2001 0,2001,2.41
1 7 AJAY,,M 25 GEN NCP,528 2,530,0.64
7 8 NARENDER ARYA,,M 35 GEN RARS,515 0,515,0.62
10 9 GANGA SINGH,,M 63 GEN IND,508 0,508,0.61
13 10 VINOD KUMAR,,M 36 GEN IND,321 0,321,0.39
11 11 DALBIR,,M 31 GEN IND,258 0,258,0.31
12 12 BIJENDER,,M 31 GEN IND,248 0,248,0.30
8 13 NEERAJ KUMAR,,M 34 GEN SMBHP,160 0,160,0.19
,TOTAL:,82962 8,82970,64.32
Turn Out,,,,,
Constituency 33. Baroda,,,TOTAL ELECTORS :,140925,
5 1 SRI KRISHAN,,M 64 GEN INC,56200 25,56225,59.37
1 2 KAPOOR SINGH NARWAL,,M 49 GEN INLD,30875 7,30882,32.61
2 3 PARNEET,,M 32 GEN BSP,2468 0,2468,2.61
4 4 RAJESH KUMAR BHARDWAJ,,M 34 GEN BJP,1180 0,1180,1.25
11 5 VINOD KUMAR,,M 37 SC UKSP,675 0,675,0.71
12 6 SATBIR SINGH CHAHAL,,M 44 GEN HJD,661 0,661,0.70
6 7 SAMUNDER,,M 48 GEN HJCBL,571 0,571,0.60
3 8 RAJBIR,,M 37 GEN NCP,534 4,538,0.57
15 9 RAMPHAL,,M 48 GEN IND,435 0,435,0.46
7 10 JAGJEEVAN RAM,,M 31 GEN CPI(ML)(L),321 0,321,0.34
8 11 JAGDISH,,M 33 GEN SMBHP,229 0,229,0.24
10 12 RAMESHWAR,,M 55 SC LJP,195 0,195,0.21
14 13 RAJPAL,,M 28 GEN IND,134 0,134,0.14
9 14 JORA SINGH,,M 35 GEN JD(S),130 2,132,0.14
13 15 BRAHM PARKASH,,M 39 GEN IND,56 0,56,0.06
,TOTAL:,94664 38,94702,67.20
Turn Out,,,,,
Constituency 34. Julana,,,TOTAL ELECTORS :,136988,
2 1 PARMINDER SINGH DHULL,,M 52 GEN INLD,45517 59,45576,43.73
4 2 SHER SINGH,,M 68 GEN INC,32729 36,32765,31.44
5 3 SUDHIR GAUTAM,,M 27 GEN HJCBL,9924 10,9934,9.53
6 4 SUMER CHABRI,,M 39 GEN BSP,8695 1,8696,8.34
1 5 JAHAWAR SAINI,,M 39 GEN BJP,2508 0,2508,2.41
3 6 RAMESH CHANDER,,M 47 GEN CPM,1382 1,1383,1.33
12 7 DR. SANJAY LATHAR,,M 38 GEN SP,1161 0,1161,1.11
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
9 8 MUKESH,,M 34 GEN LJP,515 0,515,0.49
11 9 RANBIR,,M 33 GEN RARS,375 0,375,0.36
8 10 NARESH KUMAR,,M 29 GEN UKSP,309 0,309,0.30
13 11 INDERJEET,,M 44 GEN IND,307 0,307,0.29
14 12 SUKHBIR,,M 49 GEN IND,286 0,286,0.27
7 13 JAGPHOOL SINGH,,M 51 GEN HASWP,224 0,224,0.21
10 14 RAJBIR,,M 39 GEN SMBHP,175 0,175,0.17
,TOTAL:,104107 107,104214,76.08
Turn Out,,,,,
Constituency 35. Safidon,,,TOTAL ELECTORS :,139236,
1 1 KALI RAM PATWARI,,M 49 GEN INLD,38575 43,38618,35.48
11 2 BACHAN SINGH ARYA,,M 54 GEN IND,23138 44,23182,21.30
5 3 RAM KISHAN,,M 70 GEN INC,19727 44,19771,18.16
6 4 SURESH KAUSHIK,,M 41 GEN BSP,14406 15,14421,13.25
4 5 RAJ KUMAR,,M 36 GEN BJP,8696 1,8697,7.99
3 6 JAI BHAGWAN SHARMA,,M 40 GEN HJCBL,1123 0,1123,1.03
10 7 PARVEEN,,M 29 GEN IND,766 1,767,0.70
15 8 SURESH,,M 48 GEN IND,730 0,730,0.67
2 9 GURBACHAN,,M 53 GEN NCP,410 1,411,0.38
12 10 RANBIR SINGH,,M 34 GEN IND,241 0,241,0.22
14 11 RAMPHAL SHARMA,,M 60 GEN IND,238 0,238,0.22
7 12 ARYA MUKESH MORKHI,,M 32 GEN RARS,217 0,217,0.20
9 13 RANI DEVI,,F 26 GEN SP,187 0,187,0.17
8 14 TIRLOK BHARDWAJ,,M 32 GEN SMBHP,151 0,151,0.14
13 15 RAMPHAL,,M 56 GEN IND,99 0,99,0.09
,TOTAL:,108704 149,108853,78.18
Turn Out,,,,,
Constituency 36. Jind,,,TOTAL ELECTORS :,125564,
5 1 DR. HARI CHAND MIDDHA,,M 67 GEN INLD,33970 87,34057,36.40
2 2 MANGE RAM GUPTA,,M 74 GEN INC,26084 111,26195,28.00
1 3 BRIJ MOHAN SINGLA,,M 59 GEN HJCBL,11130 11,11141,11.91
3 4 RAMESH KUMAR SAINI,,M 42 GEN BSP,11003 7,11010,11.77
12 5 BALWANT SINGH,,M 41 GEN IND,8220 0,8220,8.79
6 6 AMARJEET,,M 37 SC LJP,702 0,702,0.75
4 7 SWAMI RAGHVANAND,,M 52 GEN BJP,506 1,507,0.54
15 8 SUDHIR JINDAL,,M 47 GEN IND,415 0,415,0.44
13 9 YASHPAL,,M 34 GEN IND,411 0,411,0.44
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
8 10 DINESH KUMAR,,M 26 GEN SP,250 0,250,0.27
14 11 SUKHBIR,,M 27 GEN IND,185 0,185,0.20
11 12 PARBHATI RAM,,M 54 GEN IND,170 0,170,0.18
7 13 ISHWAR,,M 48 GEN RARS,122 2,124,0.13
10 14 PARKASH,,M 47 GEN IND,106 1,107,0.11
9 15 GULSHAN KUMAR,,M 41 GEN IND,67 0,67,0.07
,TOTAL:,93341 220,93561,74.51
Turn Out,,,,,
Constituency 37. Uchana kalan,,,TOTAL ELECTORS :,161358,
1 1 OM PARKASH CHAUTALA,,M 72 GEN INLD,62597 72,62669,46.81
4 2 BIRENDER SINGH,,M 63 GEN INC,61938 110,62048,46.34
5 3 SUSHIL KUMAR,,M 36 GEN BSP,2737 0,2737,2.04
2 4 BALKAR SINGH,,M 28 GEN BJP,1525 0,1525,1.14
3 5 BAL MUKAND SHARMA,,M 36 GEN HJCBL,1323 0,1323,0.99
14 6 SURESH KUMAR,,M 38 GEN IND,1282 0,1282,0.96
11 7 DILBAG SINGH,,M 43 GEN IND,586 0,586,0.44
13 8 RALDU,,M 63 GEN IND,546 0,546,0.41
10 9 OM PARKASH S/O CHURIA,,M 50 GEN IND,252 0,252,0.19
6 10 JAGRUP,,M 29 GEN JKNPP,233 0,233,0.17
7 11 SATPAL,,M 51 GEN SMBHP,203 0,203,0.15
8 12 SUMAN,,F 25 GEN RASAP,179 0,179,0.13
12 13 DHARAMBIR,,M 25 GEN IND,176 0,176,0.13
9 14 OM PARKASH S/O GOPALA,,M 48 GEN IND,132 0,132,0.10
,TOTAL:,133709 182,133891,82.98
Turn Out,,,,,
Constituency 38. Narwana,,(SC),TOTAL ELECTORS :,159904,
2 1 PIRTHI SINGH,,M 63 SC INLD,63581 122,63703,52.32
4 2 RAMPHAL,,M 59 SC INC,42996 67,43063,35.37
5 3 RAM BHAJ,,M 41 SC BSP,6290 4,6294,5.17
1 4 DHARAM PAUL TOOR,,M 60 SC HJCBL,3175 1,3176,2.61
3 5 BHAGWATI PARSAD,,M 36 SC BJP,3029 4,3033,2.49
6 6 SAT PAL SAROWA,,M 48 SC CPI,1160 2,1162,0.95
9 7 SARWAN,,M 61 SC IND,549 0,549,0.45
8 8 MANGAT,,M 46 SC IND,461 0,461,0.38
7 9 KITABA,,M 33 SC SMBHP,323 0,323,0.27
,TOTAL:,121564 200,121764,76.15
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency 39. Tohana,,,TOTAL ELECTORS :,167845,
3 1 PARAMVIR SINGH,,M 54 GEN INC,46679 73,46752,34.01
2 2 NISHAN SINGH,,M 51 GEN INLD,42831 69,42900,31.21
10 3 ROSHAN LAL,,M 47 GEN IND,14806 10,14816,10.78
6 4 SUBHASH BARALA,,M 42 GEN BJP,11580 7,11587,8.43
4 5 SANJAY SHARMA,,M 37 GEN BSP,11033 5,11038,8.03
1 6 DHEERA RAM,,M 51 GEN HJCBL,5519 2,5521,4.02
5 7 SAMPURAN SINGH,,M 68 GEN CPI,1370 4,1374,1.00
7 8 BAJRANG,,M 34 GEN SMBHP,1280 0,1280,0.93
12 9 SUBHASH CHAND,,M 41 GEN IND,881 0,881,0.64
11 10 SITA RAM,,M 31 GEN IND,777 0,777,0.57
9 11 BHAJAN LAL,,M 47 GEN IND,391 0,391,0.28
8 12 JAGDISH SINGH,,M 29 GEN IND,160 0,160,0.12
,TOTAL:,137307 170,137477,81.91
Turn Out,,,,,
Constituency 40. Fatehabad,,,TOTAL ELECTORS :,182826,
14 1 PRAHLAD SINGH GILLAN,,M 54 GEN IND,48564 73,48637,32.88
KHERA,,,,,
1 2 DURA RAM,,M 51 GEN INC,45753 82,45835,30.99
6 3 SWATANTAR BALA,,F 54 GEN INLD,37449 87,37536,25.37
CHAUDHARY,,,,,
3 4 RAN SINGH BENIWAL,,M 74 GEN HJCBL,7393 3,7396,5.00
4 5 COMRED RAM SARUP,,M 55 GEN CPM,1794 4,1798,1.22
2 6 BHISHAM PITAMAH,,M 59 GEN BJP,1437 1,1438,0.97
16 7 SATBIR SINGH,,M 29 SC IND,1233 0,1233,0.83
15 8 MAHARANA PARTAP,,M 32 GEN IND,948 0,948,0.64
8 9 NARENDER KUMAR URF,,M 33 GEN SMBHP,853 0,853,0.58
BILLU,,,,,
13 10 PARDEEP KUMAR,,M 26 GEN IND,714 0,714,0.48
5 11 ROHIT DARBA,,M 26 GEN NCP,426 0,426,0.29
7 12 AARYA YASHWIR ISHWAR,,M 47 GEN RARS,352 0,352,0.24
11 13 GULSHAN KUMAR,,M 31 GEN IND,347 0,347,0.23
12 14 JAGDISH KUMAR,,M 33 GEN IND,197 0,197,0.13
9 15 RAM SAWRUP BHADU,,M 52 GEN JGP,119 0,119,0.08
10 16 UMED SINGH,,M 28 GEN IND,97 0,97,0.07
,TOTAL:,147676 250,147926,80.91
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
AND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
per form 7,,,,,
3 1 GIAN CHAND,,M 65 SC INLD,50073 22,50095,39.72
2 2 JARNAIL SINGH S/O HAKAM,,M 42 SC INC,46661 52,46713,37.04
SINGH,,,,,
6 3 MAHAVIR PARSHAD,,M 55 SC BJP,8864 1,8865,7.03
5 4 MANGAT RAM,,M 52 SC HJCBL,8337 4,8341,6.61
1 5 AMARJEET KAUR,,F 39 SC BSP,4053 0,4053,3.21
4 6 BIRA RAM,,M 42 SC CPM,2167 6,2173,1.72
8 7 GURDEEP SINGH,,M 48 SC IND,2044 0,2044,1.62
12 8 SURENDER KUMAR,,M 32 SC IND,1310 0,1310,1.04
11 9 MANJEET,,M 44 SC IND,892 0,892,0.71
9 10 JAGINDER SINGH,,M 60 SC IND,728 0,728,0.58
10 11 JARNAIL SINGH S/O ARJAN,,M 40 SC IND,518 1,519,0.41
SINGH,,,,,
7 12 ROSHAN LAL,,M 25 SC SMBHP,379 0,379,0.30
,TOTAL:,126026 86,126112,77.99
Turn Out,,,,,
onstituency 42. Kalanwali,,(SC),TOTAL ELECTORS :,138779,
5 1 CHARANJEET SINGH,,M 40 SC SAD,59004 60,59064,50.98
4 2 DR. SUSHIL KUMAR INDORA,,M 49 SC INC,46507 13,46520,40.16
1 3 MAJOR SINGH,,M 39 SC BSP,5046 1,5047,4.36
3 4 PROF. RAJESH VAID,,M 35 SC HJCBL,2125 0,2125,1.83
6 5 RAJ KUMAR NAGAR,,M 38 SC SP,1192 0,1192,1.03
2 6 RATTAN LAL BAMNIA,,M 53 SC BJP,1136 0,1136,0.98
7 7 JASVIR SINGH,,M 36 SC IND,765 0,765,0.66
,TOTAL:,115775 74,115849,83.48
Turn Out,,,,,
onstituency 43. Dabwali,,,TOTAL ELECTORS :,156245,
1 1 AJAY SINGH CHAUTALA,,M 48 GEN INLD,64725 143,64868,47.55
5 2 DR. K.V. SINGH,,M 62 GEN INC,52727 33,52760,38.68
10 3 RAVINDER SINGH CHAUTALA,,M 40 GEN IND,8344 0,8344,6.12
3 4 PREET MAHENDER SINGH,,M 42 GEN BSP,3237 3,3240,2.38
8 5 JAGDEV SINGH,,M 56 GEN IND,2678 1,2679,1.96
2 6 KULDEEP SINGH,,M 51 GEN HJCBL,1916 0,1916,1.40
4 7 RENU,,F 46 GEN BJP,1056 0,1056,0.77
6 8 RAJBIR SINGH,,M 25 GEN SMBHP,774 0,774,0.57
7 9 GAGANDEEP,,M 34 GEN IND,523 0,523,0.38
9 10 MANJU BALA,,F 37 GEN IND,252 0,252,0.18
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
,TOTAL:,136232 180,136412,87.31
Turn Out,,,,,
Constituency 44. Rania,,,TOTAL ELECTORS :,139469,
1 1 KRISHAN LAL S/O RAM,,M 50 GEN INLD,48167 74,48241,39.74
CHAND,,,,,
3 2 RANJIT SINGH,,M 63 GEN INC,44546 44,44590,36.74
10 3 SATDEV,,M 45 GEN IND,11328 10,11338,9.34
4 4 VEER SINGH,,M 46 GEN BSP,7448 1,7449,6.14
2 5 GURMIT SINGH,,M 54 GEN HJCBL,3695 0,3695,3.04
6 6 SWARAN SINGH VIRK,,M 61 GEN CPI,3231 0,3231,2.66
5 7 SHISHPAL KAMBOJ,,M 54 GEN BJP,998 0,998,0.82
11 8 SAGAR MAL,,M 49 GEN IND,902 0,902,0.74
9 9 VIRENDER KUMAR,,M 29 GEN IND,555 0,555,0.46
8 10 KRISHAN LAL S/O HANS RAJ,,M 46 GEN IND,242 0,242,0.20
7 11 OM PARKASH,,M 38 GEN IND,137 0,137,0.11
,TOTAL:,121249 129,121378,87.03
Turn Out,,,,,
Constituency 45. Sirsa,,,TOTAL ELECTORS :,150395,
11 1 GOPAL KANDA,,M 44 GEN IND,38129 18,38147,32.94
1 2 PADAM CHAND,,M 53 GEN INLD,31608 70,31678,27.35
5 3 LACHHMAN DASS ARORA,,M 78 GEN INC,30306 22,30328,26.18
6 4 VEER BHAN,,M 56 GEN HJCBL,8345 1,8346,7.21
4 5 ROHTASH JANGRA,,M 51 GEN BJP,1702 0,1702,1.47
7 6 SHANTI SWAROOP,,M 49 SC BSP,951 1,952,0.82
12 7 JAMNA BAI,,F 58 GEN IND,893 0,893,0.77
17 8 SUNITA DEVI,,F 46 GEN IND,740 2,742,0.64
2 9 BALBIR KAUR ADVOCATE,,F 45 GEN CPM,553 1,554,0.48
19 10 SURESH KUMAR,,M 33 GEN IND,422 0,422,0.36
10 11 KRISHAN KUMAR,,M 62 GEN IND,350 2,352,0.30
16 12 SHAYAM SUNDER MONGA,,M 59 GEN IND,336 0,336,0.29
9 13 VINOD KUMAR,,M 26 GEN SMBHP,335 0,335,0.29
15 14 PAWAN KUMAR,,M 28 GEN IND,272 0,272,0.23
8 15 RAKESH SHARMA,,M 30 GEN RLD,227 0,227,0.20
14 16 NASEEB SINGH,,M 28 SC IND,166 0,166,0.14
18 17 SURINDER KUMAR,,M 47 GEN IND,158 0,158,0.14
3 18 BHUPENDER SINGH,,M 29 GEN NCP,121 0,121,0.10
13 19 JUGAL KISHOR KANDA,,M 63 GEN IND,94 0,94,0.08
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
,TOTAL:,115708 117,115825,77.01
Turn Out,,,,,
Constituency 46. Ellenabad,,,TOTAL ELECTORS :,144181,
2 1 OM PARKASH CHAUTALA,,M 72 GEN INLD,64532 35,64567,51.94
5 2 BHARAT SINGH BENIWAL,,M 55 GEN INC,48130 14,48144,38.73
1 3 AMIR CHAND MEHTA,,M 47 GEN BJP,3617 1,3618,2.91
3 4 DEVI LAL BENIWAL,,M 66 GEN HJCBL,3359 1,3360,2.70
4 5 PARSHAN SINGH KHOSA,,M 49 GEN BSP,2605 0,2605,2.10
6 6 SUDHIR KUMAR BENIWAL,,M 29 GEN SMBHP,816 0,816,0.66
8 7 RAJERAM KASNIYA,,M 52 GEN IND,748 0,748,0.60
7 8 INDERPAL MISTRI,,M 39 GEN IND,455 0,455,0.37
,TOTAL:,124262 51,124313,86.22
Turn Out,,,,,
Constituency 47. Adampur,,,TOTAL ELECTORS :,129790,
1 1 KULDEEP BISHNOI,,M 41 GEN HJCBL,48058 166,48224,45.77
2 2 JAI PRAKASH,,M 56 GEN INC,42167 42,42209,40.06
4 3 RAJESH GODARA,,M 39 GEN INLD,8670 6,8676,8.23
5 4 RAJESH KUMAR,,M 29 GEN BSP,2927 3,2930,2.78
3 5 PAWAN KHARIA,,M 39 GEN BJP,1209 1,1210,1.15
10 6 SANTLAL,,M 34 GEN IND,938 0,938,0.89
6 7 SUNIL KUMAR,,M 27 GEN SMBHP,492 0,492,0.47
9 8 RAMSARUP,,M 42 GEN IND,389 0,389,0.37
7 9 YAGDUTT,,M 40 GEN IND,189 0,189,0.18
8 10 RAJENDER SURA,,M 47 GEN IND,98 1,99,0.09
,TOTAL:,105137 219,105356,81.17
Turn Out,,,,,
Constituency 48. Uklana (SC),,,TOTAL ELECTORS :,152276,
2 1 NARESH SELWAL,,M 35 SC INC,45880 93,45973,41.17
5 2 SEEMA DEVI,,F 36 SC INLD,42171 64,42235,37.83
3 3 RAJBALA,,F 39 SC HJCBL,14814 6,14820,13.27
4 4 SANDEEP,,M 25 SC BSP,3467 2,3469,3.11
1 5 NARSINGH DASS,,M 41 SC BJP,2910 1,2911,2.61
6 6 KAVITA,,F 26 SC SMBHP,880 1,881,0.79
7 7 MAHENDER SINGH,,M 40 SC IND,704 0,704,0.63
8 8 RAGHUVIR SINGH,,M 39 SC IND,660 0,660,0.59
,TOTAL:,111486 167,111653,73.32
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency 49. Narnaund,,,TOTAL ELECTORS :,160787,
4 1 SAROJ,,F 48 GEN INLD,48231 91,48322,37.41
3 2 RAM KUMAR,,M 63 GEN INC,38142 83,38225,29.59
1 3 ABHIMANYU,,M 41 GEN BJP,37919 30,37949,29.38
2 4 BHAL SINGH,,M 43 GEN BSP,2251 1,2252,1.74
10 5 ROOPENDER RANA,,M 27 GEN IND,975 0,975,0.75
6 6 ISHWAR SINGH,,M 46 GEN SP,369 0,369,0.29
5 7 ANIL KUMAR,,M 27 GEN SMBHP,344 0,344,0.27
7 8 ARYA SATISH KUMAR,,M 32 GEN RARS,288 2,290,0.22
8 9 RAJESH,,M 37 GEN IND,267 0,267,0.21
9 10 RAM AVTAR,,M 51 GEN IND,183 0,183,0.14
,TOTAL:,128969 207,129176,80.34
