Constituency : 1 . KALKA,,,,,
1 .  PURUSH BHAN,,M,INC,29025,32.30%
2 .  LACHHMAN SINGH,,M,HVP,24034,26.74%
3 .  NARDEV,,M,BJP,22040,24.52%
4 .  KANTI PARKASH BHALLA,,M,JP,5169,5.75%
5 .  PREM SINGH,,M,BSP,4779,5.32%
6 .  AMAR SINGH,,M,IND,1516,1.69%
7 .  KRISHAN CHAND,,M,IND,731,0.81%
8 .  JAGDISH CHAND,,M,IND,583,0.65%
9 .  PUSHPA,,F,IND,259,0.29%
10 .  OM PRAKASH,,M,IND,258,0.29%
11 .  LAJJA RAM,,M,IND,246,0.27%
12 .  KRISHAN DEV,,M,IND,218,0.24%
13 .  SURINDER KUMAR,,M,IND,208,0.23%
14 .  MAHABIR PRASAD,,M,IND,183,0.20%
15 .  SURESH KUMAR,,M,IND,162,0.18%
16 .  ROSHAN LAL,,M,IND,116,0.13%
17 .  TEJINDER MOHAN,,M,IND,84,0.09%
18 .  AMAR NATH,,M,IND,76,0.08%
19 .  VINOD KUMAR,,M,IND,72,0.08%
20 .  RAM KUMAR,,M,IND,58,0.06%
21 .  JAGBIR,,M,IND,56,0.06%
,,,,
ELECTORS : 141447 VOTERS :,,92940 POLL PERCENTAGE :,65.71%,VALID VOTES :,89873
,,,,
Constituency : 2 . NARAINGARH,,,,,
1 .  SURJEET KUMAR,,M,BSP,15407,22.44%
2 .  ASHOK KUMAR,,M,INC,10869,15.83%
3 .  BHARAT BHUSHAN,,M,BJP,9982,14.54%
4 .  JAGPAL SINGH CHAUDHRY,,M,JP,7917,11.53%
5 .  VINOD KUMAR,,M,IND,7581,11.04%
6 .  LAL SINGH,,M,IND,6403,9.32%
7 .  HATHI SINGH,,M,IND,4447,6.48%
8 .  ROSHAN LAL ARYA,,M,HVP,1756,2.56%
9 .  PREETPAL SINGH,,M,IND,1301,1.89%
10 .  JAIPAL,,M,IND,697,1.02%
11 .  BHACMAL,,M,IND,554,0.81%
12 .  RAM NATH,,M,IND,369,0.54%
13 .  RANA MAHARAJ SINGH CHAUHAN,,M,IND,360,0.52%
14 .  DHARAM CHAND,,M,IND,271,0.39%
15 .  SUKHDEV SINGH,,M,DDP,230,0.33%
16 .  JAGBIR SINGH RANA,,M,IND,222,0.32%
17 .  LAJJA RAM,,M,IND,173,0.25%
18 .  MAYARAM,,M,IND,129,0.19%
,,,,
ELECTORS : 95404 VOTERS :,,71236 POLL PERCENTAGE :,74.67%,VALID VOTES :,68668
ELECTORS :,96866,VOTERS :,62501,POLL PERCENTAGE :,64.52%,VALID VOTES :,60580
No. CANDIDATE,,,SEX,PARTY,VOTES,%
,,,,,,
ELECTORS :,96866 VOTERS :,62501,,POLL PERCENTAGE :,64.52%,VALID VOTES :,60580
Constituency :,30 . ROHTAK,,,,,,
1 . SUBHASH CHANDER,,,M,INC,26398,34.92%
2 . SHRIKISHAN DASS,,,M,HVP,23791,31.47%
3 . SUNDER LAL SETHI,,,M,BJP,18436,24.39%
4 . RAM KUMAR,,,M,JP,4415,5.84%
5 . SARVAJEET SINGH SANGWAN,,,M,IND,449,0.59%
6 . PARTAP SINGH S/O BHAG SINGH,,,M,IND,324,0.43%
7 . SURESH,,,M,IND,136,0.18%
8 . RAMJI DASS,,,M,IND,131,0.17%
9 . KULDEEP KHASA,,,M,IND,119,0.16%
10 . ARJUN SINGH SEHGAL,,,M,IND,118,0.16%
11 . SHER SINGH,,,M,IND,115,0.15%
12 . MANOHAR LAL,,,M,IND,104,0.14%
13 . UMED SINGH,,,M,IND,78,0.10%
14 . ROHTAS,,,M,IND,76,0.10%
15 . CHANDER BHAN,,,M,IND,75,0.10%
16 . DEVENDER KUMAR,,,M,IND,68,0.09%
17 . RAM CHARAN,,,M,IND,64,0.08%
18 . SURESH CHANDER JANGRA,,,M,DBP,64,0.08%
19 . SUBHASH CHAND,,,M,IND,58,0.08%
20 . RAMESHWAR DASS GUPTA,,,M,IND,54,0.07%
21 . BABU RAM GOYAL,,,M,IND,50,0.07%
22 . RAGHUBIR SINGH,,,M,IND,44,0.06%
23 . NAND LAL BANSAL,,,M,IND,37,0.05%
24 . SUBHASH,,,M,IND,35,0.05%
25 . RAJ KUMAR,,,M,IND,34,0.04%
26 . NAVEEN KUMAR JAIN,,,M,IND,33,0.04%
27 . KRISHAN SINGH,,,M,IND,31,0.04%
28 . HAWA SINGH,,,M,IND,28,0.04%
29 . PARTAP SINGH S/O HARSARUP SINGH,,,M,IND,27,0.04%
30 . BAHADUR CHAND,,,M,IND,25,0.03%
31 . RAGHBIR SINGH S/O RAM SINGH,,,M,IND,25,0.03%
32 . GULSHAN,,,M,IND,24,0.03%
33 . HARISH KUMAR,,,M,IND,20,0.03%
35 . BALBIR SINGH,,,M,IND,19,0.03%
34 . RAGHBIR SINGH S/O UDMI RAM,,,M,IND,19,0.03%
36 . SURAJ KUMAR,,,M,IND,18,0.02%
38 . RAVI,,,M,IND,17,0.02%
37 . KRISHAN LAL PARDESI,,,M,IND,17,0.02%
39 . NARESH KUMAR,,,M,IND,14,0.02%
ELECTORS :,127160 VOTERS :,77837,,POLL PERCENTAGE :,61.21%,VALID VOTES :,75590
Constituency :,31 . MEHAM,,,,,,
1 . ANAND SINGH,,,M,INC,43608,63.75%
2 . SUBE SINGH,,,M,JP,17259,25.23%
3 . RAM CHANDER,,,M,HVP,4842,7.08%
4 . JAIPAL,,,M,IND,1110,1.62%
5 . BALBIR SINGH,,,M,IND,743,1.09%
6 . DHARAMPAL,,,M,IND,177,0.26%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
7 . JAGJIT,,,M,IND,158,0.23%
8 . ZILE SINGH,,,M,DDP,136,0.20%
9 . KRISHAN CHANDER,,,M,IND,113,0.17%
10 . SUNIL,,,M,IND,59,0.09%
11 . RAJ,,,M,IND,58,0.08%
12 . WAZIR,,,M,IND,45,0.07%
13 . BALBIR,,,M,IND,37,0.05%
14 . JANGLI,,,M,IND,33,0.05%
15 . MEHAR SINGH,,,M,IND,29,0.04%
ELECTORS :,105959 VOTERS :,69917,,POLL PERCENTAGE :,65.98%,VALID VOTES :,68407
Constituency :,32 . KALANAUR (SC),,,,,,
1 . KARTAR DEVI,,,F,INC,26194,49.36%
2 . HARDUL,,,M,JP,15859,29.89%
3 . SURAT SINGH,,,M,HVP,7863,14.82%
4 . JAI NARAYAN,,,M,BJP,2516,4.74%
5 . LABH SINGH,,,M,IND,320,0.60%
6 . INDER JEET,,,M,IND,109,0.21%
7 . RAM SINGH,,,M,IND,82,0.15%
8 . KARN SINGH,,,M,IND,51,0.10%
9 . RAJ KUMAR,,,M,IND,37,0.07%
10 . PITTAN LAL,,,M,IND,31,0.06%
ELECTORS :,90415 VOTERS :,54955,,POLL PERCENTAGE :,60.78%,VALID VOTES :,53062
Constituency :,33 . BERI,,,,,,
1 . OM PARKASH,,,M,INC,25077,42.87%
2 . VIRENDER PAL,,,M,JP,19521,33.38%
3 . RAGHUBIR SINGH,,,M,JD,12032,20.57%
4 . ANAND PARKASH,,,M,IND,744,1.27%
5 . BALJIT,,,M,BJP,354,0.61%
6 . RAJVIR,,,M,IND,273,0.47%
7 . KRISHAN,,,M,RKD,133,0.23%
8 . KARMVIR,,,M,IND,97,0.17%
9 . RAM NIWAS,,,M,IND,86,0.15%
10 . PHOOL SINGH,,,M,IND,62,0.11%
11 . PRAHLAD,,,M,IND,44,0.08%
12 . DAYARAM,,,M,IND,38,0.06%
13 . SUKH MOHENDER,,,M,IND,28,0.05%
ELECTORS :,96473 VOTERS :,60385,,POLL PERCENTAGE :,62.59%,VALID VOTES :,58489
Constituency :,34 . SALHAWAS,,,,,,
1 . ZILE SINGH,,,M,JP,18448,30.89%
2 . NARVIR SINGH,,,M,INC,17807,29.82%
3 . BABRU BAHAN,,,M,HVP,6470,10.83%
4 . HUKAM SINGH,,,M,IND,5945,9.96%
5 . AMAR SINGH,,,M,IND,5055,8.46%
6 . VEER KUMAR,,,M,BJP,2139,3.58%
7 . JAI SINGH,,,M,IND,690,1.16%
8 . RAM KUMAR,,,M,IND,474,0.79%
9 . BIRBAL,,,M,IND,421,0.70%
10 . RAMEHAR,,,M,IND,398,0.67%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
11 . LAL SINGH,,,M,IND,344,0.58%
12 . SHASHI,,,F,IND,317,0.53%
13 . SATPAL,,,M,IND,293,0.49%
14 . SUMER SINGH,,,M,RPK,167,0.28%
15 . RAM KISHAN,,,M,IND,159,0.27%
16 . HARI RAM,,,M,IND,113,0.19%
17 . DAYANAND,,,M,IND,103,0.17%
18 . SATISH KUMAR,,,M,IND,103,0.17%
19 . RAJ SINGH,,,M,IND,67,0.11%
20 . SAJJAN SINGH,,,M,IND,51,0.09%
21 . BALWAN,,,M,IND,48,0.08%
22 . LAL SINGH YADAV,,,M,IND,38,0.06%
23 . KRISHAN KUMAR,,,M,IND,33,0.06%
24 . BHAGAT SINGH,,,M,IND,18,0.03%
25 . N. S. YADAV,,,M,IND,17,0.03%
ELECTORS :,101283 VOTERS :,62523,,POLL PERCENTAGE :,61.73%,VALID VOTES :,59718
Constituency :,35 . JHAJJAR (SC),,,,,,
1 . DARYAO SINGH,,,M,JP,22305,37.81%
2 . BANARASI DASS,,,M,INC,20335,34.47%
3 . PIARE LAL,,,M,JD,11734,19.89%
4 . KAILASH CHANDER,,,M,IND,1858,3.15%
5 . OM PARKASH S/O BADLU RAM,,,M,BJP,1136,1.93%
6 . PARBHU DAYAL,,,M,IND,596,1.01%
7 . BALE RAM,,,M,IND,263,0.45%
8 . MADAN,,,M,IND,223,0.38%
9 . MOOL CHAND,,,M,IND,149,0.25%
10 . PREM SINGH,,,M,IND,93,0.16%
11 . BHUP SINGH,,,M,IND,85,0.14%
12 . HUKAM CHAND,,,M,IND,63,0.11%
13 . JASWANT SINGH,,,M,IND,61,0.10%
14 . OM PARKASH S/O SHEO CHAND,,,M,IND,47,0.08%
15 . HOSHIAR SINGH,,,M,IND,39,0.07%
ELECTORS :,109564 VOTERS :,61236,,POLL PERCENTAGE :,55.89%,VALID VOTES :,58987
Constituency :,36 . BADLI,,,,,,
1 . DHIRPAL SINGH,,,M,JP,29284,51.52%
2 . MANPHOOL SINGH,,,M,HVP,16908,29.75%
3 . HARDWARI LAL,,,M,INC,6642,11.69%
4 . UDEY SINGH,,,M,IND,2574,4.53%
5 . JASWANT SINGH,,,M,BJP,412,0.72%
6 . DHARMENDER,,,M,IND,216,0.38%
7 . CHANDER PAL,,,M,DDP,182,0.32%
8 . RAM MEHAR,,,M,BSP,141,0.25%
9 . RAGHBIR SINGH,,,M,IND,130,0.23%
10 . BHAJAN LAL,,,M,IND,122,0.21%
11 . RANBIR,,,M,IND,120,0.21%
12 . KARAMBIR SINGH,,,M,IND,55,0.10%
13 . BIJENDER,,,M,IND,50,0.09%
ELECTORS :,95223 VOTERS :,59087,,POLL PERCENTAGE :,62.05%,VALID VOTES :,56836
No. CANDIDATE,SEX,,PARTY,VOTES,%
Constituency : 37 . BAHADURGARH,,,,,
1 . SURAJ MAL,,M,INC,20956,30.90%
2 . KAPTAN CHAIT RAM,,M,JP,17583,25.93%
3 . MEHAR SINGH RATHI,,M,HVP,8877,13.09%
4 . HARIKISHAN CHILLER S/O SARDER SINGH,,M,IND,8841,13.04%
5 . HARKISHAN S/O JAGAT RAM,,M,IND,5999,8.85%
6 . SAT PRAKASH,,M,BJP,2743,4.04%
7 . RAJENDER,,M,IND,949,1.40%
8 . MAHABIR SINGH,,M,IND,758,1.12%
9 . BHALE RAM,,M,IND,161,0.24%
10 . CHARAN SINGH S/O LO RAM,,M,IND,135,0.20%
11 . BALJIT S/O CHANDER SINGH,,M,IND,128,0.19%
12 . RAJ KUMAR,,M,IND,125,0.18%
13 . BALJIT SINGH S/O CHANDER SINGH,,M,IND,113,0.17%
14 . CHARAN SINGH S/O TEJ SINGH,,M,IND,107,0.16%
15 . VIJAY SINGH,,M,IND,98,0.14%
16 . SURENDER KUMAR SAHARMA,,M,IND,88,0.13%
17 . ROHTAS,,M,IND,49,0.07%
18 . HAWA SINGH,,M,IND,43,0.06%
19 . RAMESHWAR,,M,IND,36,0.05%
20 . SHIV KUMAR,,M,IND,30,0.04%
ELECTORS : 118691 VOTERS : 69921,POLL PERCENTAGE :,,58.91%,VALID VOTES :,67819
Constituency : 38 . BARODA (SC),,,,,
1 . RAMESH KUMAR,,M,JP,31133,53.27%
2 . RAM DHARI,,M,INC,20297,34.73%
3 . CHARAN SINGH,,M,JD,4574,7.83%
4 . IQBAL SINGH,,M,BJP,928,1.59%
5 . AZAD,,M,IND,606,1.04%
6 . RAM KISHAN,,M,IND,383,0.66%
7 . OM PARKASH,,M,IND,321,0.55%
8 . NAFE SINGH,,M,IND,133,0.23%
9 . LAXMI CHAND,,M,IND,73,0.12%
ELECTORS : 96841 VOTERS : 60012,POLL PERCENTAGE :,,61.97%,VALID VOTES :,58448
Constituency : 39 . GOHANA,,,,,
1 . KITAB SINGH,,M,IND,27057,38.31%
2 . RAM DHARI,,M,INC,18349,25.98%
3 . KISHAN SINGH,,M,JP,15185,21.50%
4 . RATI RAM,,M,HVP,5989,8.48%
5 . BALBIR SINGH,,M,BJP,2040,2.89%
6 . KALI RAM,,M,IND,671,0.95%
7 . GURDIYAL,,M,IND,314,0.44%
8 . VED PARKASH,,M,IND,270,0.38%
9 . TEK RAM,,M,DDP,150,0.21%
10 . BHIM SINGH,,M,IND,104,0.15%
11 . RAJ SINGH,,M,MC(J),78,0.11%
12 . BHAGAT SINGH,,M,IND,74,0.10%
13 . RAMESH KUMAR,,M,IND,51,0.07%
14 . NAFE SINGH,,M,IND,50,0.07%
15 . SATPAL,,M,IND,49,0.07%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
16 . RAJENDER,,,M,IND,46,0.07%
17 . RAJ KUMAR,,,M,IND,45,0.06%
18 . PARTAP,,,M,IND,44,0.06%
19 . OM PARKASH,,,M,IND,39,0.06%
20 . BASANT RAM,,,M,IND,19,0.03%
ELECTORS :,111469 VOTERS :,72878,,POLL PERCENTAGE :,65.38%,VALID VOTES :,70624
,,,,,,
Constituency :,40 . KAILANA,,,,,,
1 . SHANTI DEVI,,,F,INC,30782,45.12%
2 . BED SINGH MALIK,,,M,JP,22609,33.14%
3 . RAMESH CHANDER,,,M,HVP,11163,16.36%
4 . KISHAN DAYAL,,,M,BJP,1914,2.81%
5 . BAL KISHAN,,,M,IND,463,0.68%
6 . SATPAL SINGH,,,M,DDP,273,0.40%
7 . BALJIT SINGH,,,M,IND,256,0.38%
8 . RAM DHAN,,,M,IND,206,0.30%
9 . HARDWARI,,,M,IND,190,0.28%
10 . KANWAL SINGH BEDHARAK,,,M,PDL,172,0.25%
11 . RANBIR,,,M,IND,106,0.16%
12 . KALI RAM,,,M,IND,85,0.12%
ELECTORS :,106033 VOTERS :,70785,,POLL PERCENTAGE :,66.76%,VALID VOTES :,68219
Constituency :,41 . SONEPAT,,,,,,
1 . SHAM DASS,,,M,INC,25623,37.07%
2 . SATENDER,,,M,JP,17023,24.63%
3 . DEVI DASS,,,M,BJP,11715,16.95%
4 . RAM PHAL,,,M,JD,7371,10.66%
5 . OM PARKASH S/O HARI SINGH,,,M,IND,5781,8.36%
6 . RAJINDER S/O SIRI RAM,,,M,IND,436,0.63%
7 . HUKAM CHAND,,,M,IND,364,0.53%
8 . RAM SINGH,,,M,IND,303,0.44%
9 . KANWAL SINGH BEDHARAK,,,M,PDL,169,0.24%
10 . ASHWANI KUMAR,,,M,IND,108,0.16%
11 . RAMDHAN,,,M,IND,103,0.15%
12 . OM PARKASH S/O KANIBYA,,,M,DDP,82,0.12%
13 . RAJINDER KUMAR S/O MANOHAR LAL,,,M,IND,44,0.06%
ELECTORS :,117372 VOTERS :,71144,,POLL PERCENTAGE :,60.61%,VALID VOTES :,69122
Constituency :,42 . RAI,,,,,,
1 . JAIPAL,,,M,JP,21195,32.75%
2 . JASWANT SINGH,,,M,INC,20598,31.83%
3 . SHYAM LAL,,,M,JD,12820,19.81%
4 . RIZAQRAM,,,M,IND,6230,9.63%
5 . ANAND,,,M,BJP,2413,3.73%
6 . JAGMANDER,,,M,IND,782,1.21%
7 . JOGINDER,,,M,DDP,184,0.28%
8 . SURAJMAL,,,M,IND,177,0.27%
9 . SUBESINGH,,,M,IND,158,0.24%
10 . OM PARKASH,,,M,IND,153,0.24%
ELECTORS :,106937 VOTERS :,67096,,POLL PERCENTAGE :,62.74%,VALID VOTES :,64710
No. CANDIDATE,,SEX,PARTY,VOTES,%
Constituency : 43 . ROHAT,,,,,
1 . HUKAM SINGH,,M,INC,19834,36.26%
2 . MOHINDER SINGH,,M,JP,19796,36.20%
3 . NAWAL SINGH,,M,HVP,10484,19.17%
4 . DEVINDER SINGH,,M,HCYM,1716,3.14%
5 . RAM DHAN,,M,BJP,1499,2.74%
6 . SUBE SINGH,,M,JKMP,309,0.56%
7 . RAJINDER SINGH,,M,IND,306,0.56%
8 . MADAN MOHAN,,M,IND,208,0.38%
9 . RAM KUMAR DEHIYA,,M,IND,152,0.28%
10 . HUKAM SINGH S/O MOHAN LAL,,M,DDP,129,0.24%
11 . BHIM SINGH,,M,IND,106,0.19%
12 . SURYA PARKASH,,M,IND,102,0.19%
13 . KULDEEP,,M,IND,51,0.09%
ELECTORS : 98059 VOTERS :,57139,POLL PERCENTAGE :,58.27%,VALID VOTES :,54692
Constituency : 44 . KALAYAT (SC),,,,,
1 . BHARATH SINGH,,M,JP,20049,36.22%
2 . JOGI RAM S/O DATU RAM,,M,INC,17117,30.92%
3 . RANDHIR,,M,HVP,4750,8.58%
4 . HARDEVA,,M,IND,3881,7.01%
5 . PIRTHI,,M,IND,3062,5.53%
6 . RAJ MAL,,M,IND,2818,5.09%
7 . JOGI RAM S/O MANSA RAM,,M,IND,1097,1.98%
8 . JAGDEV,,M,BJP,888,1.60%
9 . RAJNI DEVI,,F,IND,448,0.81%
10 . GAJE SINGH,,M,IND,370,0.67%
11 . NAFE SINGH,,M,IND,288,0.52%
12 . RAM SARUP,,M,IND,195,0.35%
13 . RAJ KUMAR,,M,IND,147,0.27%
14 . SHRI RAM,,M,IND,118,0.21%
15 . BALWANT,,M,IND,85,0.15%
16 . MIHAN SINGH,,M,IND,47,0.08%
ELECTORS : 90933 VOTERS :,58231,POLL PERCENTAGE :,64.04%,VALID VOTES :,55360
Constituency : 45 . NARWANA,,,,,
1 . SHAMSHER SINGH S/O GANGA SINGH,,M,INC,23445,34.39%
2 . GAURI SHANKER,,M,HVP,16284,23.89%
3 . TEK CHAND S/O RISALA,,M,JP,15609,22.90%
4 . TEK CHAND S/I AMILAL,,M,IND,4001,5.87%
5 . BALWANT S/O RAM SARUP,,M,IND,3019,4.43%
6 . BIRBAL DASS,,M,IND,1880,2.76%
7 . RANBIR KAUR,,F,BJP,1548,2.27%
8 . YOGENDRA PAL,,M,IND,332,0.49%
9 . TEK CHAND S/O GOPI RAM,,M,IND,239,0.35%
10 . MANGE RAM,,M,IND,218,0.32%
11 . RAGHBIR S/O AMI LAL,,M,IND,205,0.30%
12 . JAILI RAM,,M,IND,156,0.23%
13 . ZILE SINGH S/O RATTAN SINGH,,M,IND,145,0.21%
14 . KULDIP SINGH,,M,IND,111,0.16%
15 . UMESH CHAND,,M,IND,85,0.12%
No. CANDIDATE,,SEX,PARTY,VOTES,%
16 . SHARDA,,F,IND,78,0.11%
18 . SUBHASH,,M,IND,70,0.10%
17 . SATBIR SINGH S/O DEVATRAM,,M,IND,70,0.10%
19 . SAT PARKASH,,M,IND,63,0.09%
20 . DILBAGH SINGH,,M,IND,61,0.09%
21 . OM PARKASH,,M,IND,59,0.09%
22 . RAGHBIR S/O GIRDHALA,,M,IND,55,0.08%
23 . DES RAJ,,M,IND,53,0.08%
24 . SATBIR S/O NIHALA,,M,IND,44,0.06%
25 . BALWANT S/O SHERSINGH,,M,IND,43,0.06%
27 . ROSHAN LAL,,M,IND,35,0.05%
26 . JAI BHAGWAN,,M,IND,35,0.05%
28 . KESHAR SINGH,,M,IND,34,0.05%
29 . DHIRA ALIAS RANDHIR,,M,IND,34,0.05%
30 . SHAMSHER SINGH S/O KARAM SINGH,,M,IND,34,0.05%
31 . RAM KUMAR,,M,IND,31,0.05%
33 . INDER SINGH,,M,IND,28,0.04%
32 . ANGREJ SINGH,,M,IND,28,0.04%
34 . RAJA RAM,,M,IND,20,0.03%
35 . SANJIV,,M,IND,19,0.03%
36 . ZILE SINGH S/O HARI RAM,,M,IND,5,0.01%
ELECTORS :,96313 VOTERS :,70885,POLL PERCENTAGE :,73.60%,VALID VOTES :,68176
Constituency :,46 . UCHANA KALAN,,,,,
1 . VIRENDAR SINGH,,M,INC,31937,45.21%
2 . DES RAJ,,M,JP,23093,32.69%
3 . BHALLE RAM,,M,HVP,9728,13.77%
4 . DHUP SINGH,,M,IND,2412,3.41%
5 . SAT NARAIN,,M,BJP,1545,2.19%
6 . JILE SINGH,,M,IND,454,0.64%
7 . OM PARKASH S/O GOPALA,,M,IND,366,0.52%
8 . TEK CHAND,,M,IND,169,0.24%
9 . PRITTAM SINGH,,M,IND,165,0.23%
10 . KARAN SINGH MOR,,M,KM,158,0.22%
11 . DARSHAN,,M,IND,146,0.21%
12 . SATBIR,,M,IND,117,0.17%
13 . SATYAWAN,,M,IND,71,0.10%
14 . YASH PAL,,M,IND,64,0.09%
15 . RUPENDER SINGH,,M,IND,58,0.08%
16 . OM PARKASH S/O BALLU,,M,IND,54,0.08%
17 . LABH SINGH,,M,IND,54,0.08%
18 . SATPAL SIGNH,,M,IND,39,0.06%
19 . RANBIR SINGH,,M,IND,16,0.02%
ELECTORS :,102339 VOTERS :,73152,POLL PERCENTAGE :,71.48%,VALID VOTES :,70646
Constituency :,47 . RAJOND,,,,,
1 . RAM KUMAR KATWAL,,M,JP,20864,37.04%
2 . SATVINDER SINGH,,M,INC,18245,32.39%
3 . DHARMVIR,,M,JD,9999,17.75%
4 . BHARAT SINGH,,M,IND,3525,6.26%
5 . SOM DUTT,,M,BJP,1762,3.13%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
6 . BALWAN,,,M,IND,903,1.60%
7 . RAM BHAJ,,,M,IND,190,0.34%
8 . KARAN SINGH,,,M,IND,116,0.21%
9 . DHOOP SINGH,,,M,IND,85,0.15%
10 . RAM KRISHAN,,,M,IND,71,0.13%
11 . RAM PHAL SINGH,,,M,DDP,58,0.10%
12 . PURAN CHAND,,,M,IND,56,0.10%
13 . RAM MEHAR,,,M,IND,56,0.10%
14 . SAT NARAIN,,,M,IND,53,0.09%
15 . RAN KUMAR NARMAUND,,,M,IND,52,0.09%
16 . DAYA NAND,,,M,IND,52,0.09%
17 . LAL CHAND,,,M,IND,40,0.07%
18 . RAM SARUP,,,M,IND,39,0.07%
19 . CHANDER BHAN,,,M,IND,31,0.06%
20 . MAHI PAL,,,M,IND,31,0.06%
21 . SATYAVIR,,,M,IND,30,0.05%
22 . SATBIR,,,M,IND,29,0.05%
23 . DALEL SINGH,,,M,IND,24,0.04%
24 . RAJENDER SINGH,,,M,IND,19,0.03%
ELECTORS :,85829 VOTERS :,58742,,POLL PERCENTAGE :,68.44%,VALID VOTES :,56330
Constituency :,48 . JIND,,,,,,
1 . MANGE RAM GUPTA,,,M,INC,35346,47.58%
2 . TEK RAM S/O JUG LAL,,,M,JP,19213,25.86%
3 . RAMDHIR SINGH,,,M,JD,8719,11.74%
4 . SHAM LAL,,,M,BJP,6621,8.91%
5 . ANIL,,,M,IND,675,0.91%
6 . OM SINGH,,,M,IND,597,0.80%
7 . RAJINDER GOYAT,,,M,LKD,589,0.79%
8 . BALWAN SINGH S/O DAL SINGH,,,M,IND,389,0.52%
9 . PRITAM SINGH,,,M,IND,270,0.36%
10 . RAJPAL SINGH,,,M,IND,160,0.22%
11 . LAKHMI CHAND,,,M,IND,136,0.18%
12 . ISHWAR SINGH,,,M,IND,129,0.17%
13 . JAGAN NATH,,,M,IND,126,0.17%
14 . PALIA,,,M,IND,103,0.14%
15 . KRISHAN,,,M,IND,101,0.14%
16 . BHAJJA,,,M,IND,89,0.12%
17 . OM PARKASH S/O HATHI SINGH,,,M,IND,88,0.12%
18 . SUBE SINGH DHALWAL,,,M,IND,86,0.12%
19 . RAJ KUMAR,,,M,IND,83,0.11%
20 . RAJBIR,,,M,IND,75,0.10%
21 . BHARAT BHUSHAN,,,M,IND,57,0.08%
22 . JAI PARKASH,,,M,IND,51,0.07%
23 . RAM GOPAL,,,M,IND,47,0.06%
24 . VIJAY PAL,,,M,IND,46,0.06%
25 . PREM CHAND,,,M,IND,38,0.05%
26 . TEK RAM S/O JHUNDA RAM,,,M,IND,37,0.05%
27 . TARA CHAND,,,M,IND,36,0.05%
28 . BALWAN SINGH S/O MANGE RAM,,,M,IND,34,0.05%
29 . HAWA SINGH,,,M,IND,34,0.05%
No. CANDIDATE,,,SEX,PARTY,VOTES,%
30 . LUXMI NARAIN,,,M,IND,33,0.04%
31 . PARTAP,,,M,IND,32,0.04%
32 . JAI BHAGWAN MITTAL,,,M,IND,31,0.04%
33 . MOHAN LAL GUPTA,,,M,IND,30,0.04%
34 . JAGAT SINGH,,,M,IND,28,0.04%
35 . GANGA SINGH,,,M,IND,25,0.03%
36 . JANKI /W/O BHARTHA,,,F,IND,22,0.03%
37 . SATISH KUMAR,,,M,IND,21,0.03%
38 . ROSHAN,,,M,IND,19,0.03%
39 . JITENDER,,,M,IND,17,0.02%
40 . VINOD KUMAR,,,M,IND,17,0.02%
41 . SUBHASH,,,M,IND,16,0.02%
42 . RAM PARKASH,,,M,IND,15,0.02%
43 . SUBHASH CHAND,,,M,IND,13,0.02%
ELECTORS :,109513 VOTERS :,76197,,POLL PERCENTAGE :,69.58%,VALID VOTES :,74294
Constituency :,49 . JULANA,,,,,,
1 . SURAJ BHAN,,,M,JP,16157,26.15%
2 . PARMENDER SINGH,,,M,INC,13154,21.29%
3 . CHANDER BHA S/O RISAL SINGH,,,M,JD,8190,13.26%
4 . PREET SINGH,,,M,IND,6527,10.56%
5 . CHANDER BHAN S/O RAM NATH,,,M,IND,5126,8.30%
6 . SAT NARAIN,,,M,IND,4826,7.81%
7 . HARI MOHAN,,,M,BJP,3563,5.77%
8 . ZILE SINGH,,,M,IND,1779,2.88%
9 . RAM KUMAR,,,M,IND,785,1.27%
10 . BALBIR,,,M,IND,405,0.66%
11 . RAJE RAM,,,M,IND,303,0.49%
12 . RAJENDER,,,M,DDP,151,0.24%
13 . MAHABIR SINGH,,,M,IND,134,0.22%
14 . DEVINDER SINGH,,,M,IND,122,0.20%
15 . NAFE,,,M,IND,119,0.19%
16 . PARKASH,,,M,IND,111,0.18%
17 . RAJBIR,,,M,IND,91,0.15%
18 . PRITHVI SINGH,,,M,IND,79,0.13%
19 . LEHALA SINGH,,,M,IND,56,0.09%
20 . PARDEEP KUMAR,,,M,IND,32,0.05%
21 . SHAMSHER SINGH,,,M,IND,17,0.03%
22 . ISHWAR SINGH,,,M,IND,13,0.02%
23 . DHARAM SINGH,,,M,IND,12,0.02%
24 . SHOBHA,,,M,IND,12,0.02%
25 . SATBIR SINGH S/O MANGE,,,M,IND,11,0.02%
26 . SATBIR SINGH S/O RAM KISHAN,,,M,IND,11,0.02%
ELECTORS :,92217 VOTERS :,64274,,POLL PERCENTAGE :,69.70%,VALID VOTES :,61786
Constituency :,50 . SAFIDON,,,,,,
1 . BACHAN SINGH,,,M,INC,22030,32.10%
2 . RAM PHAL,,,M,JP,19433,28.31%
3 . BANI RAM,,,M,IND,8863,12.91%
4 . DHAJJA RAM,,,M,HVP,7460,10.87%
5 . RAM BHAJ,,,M,IND,3701,5.39%
No. CANDIDATE,,SEX,PARTY,VOTES,%
