Constituency  :,1 . KALKA,,,,
1 .,L. SINGH,M,IND,12787,32.39%
2 .,K. LAL,M,INC,12086,30.62%
3 .,J. SINGH,M,IND,8508,21.55%
4 .,P. KUMAR,M,BJS,5974,15.13%
5 .,S. SINGH,M,IND,122,0.31%
ELECTORS :,54716 VOTERS  :,41210 POLL PERCENTAGE  :,75.32%,VALID VOTES :,39477
Constituency  :,2 . NARAINGARH,,,,
1 .,L. SINGH,M,INC,16691,45.35%
2 .,R. N. SARUP,M,BJS,8528,23.17%
3 .,N. LAL,M,RPI,6816,18.52%
4 .,S. RAM,M,SWA,2291,6.23%
5 .,G. SINGH,M,IND,1541,4.19%
6 .,B. PARSHAD,M,IND,936,2.54%
ELECTORS :,56067 VOTERS  :,39261 POLL PERCENTAGE  :,70.03%,VALID VOTES :,36803
Constituency  :,3 . CHHACHROLI (SC),,,,
1 .,R. PARKASH,M,INC,15525,42.48%
2 .,P. CHAND,M,IND,14605,39.97%
3 .,S. RAM,M,CPI,3312,9.06%
4 .,4. KISHORE,M,BJS,3101,8.49%
ELECTORS :,57364 VOTERS  :,39571 POLL PERCENTAGE  :,68.98%,VALID VOTES :,36543
Constituency  :,4 . JAGADHRI,,,,
1 .,D. PRAKASH,M,BJS,14665,41.12%
2 .,G. SINGH,M,INC,12856,36.05%
3 .,R. A. SINGH,M,SWA,3742,10.49%
4 .,T. DASS,M,IND,2740,7.68%
5 .,M. RAM,M,IND,1169,3.28%
6 .,S. CHAND,M,IND,338,0.95%
7 .,R. DASS,M,IND,154,0.43%
ELECTORS :,48041 VOTERS  :,37723 POLL PERCENTAGE  :,78.52%,VALID VOTES :,35664
Constituency  :,5 . YAMUNANAGAR,,,,
1 .,B. DAYAL,M,INC,22043,52.43%
2 .,R. LAL,M,BJS,15419,36.68%
3 .,J. GOPAL,M,PSP,4121,9.80%
4 .,A. CHANDER,M,IND,456,1.08%
ELECTORS :,57429 VOTERS  :,43569 POLL PERCENTAGE  :,75.87%,VALID VOTES :,42039
Constituency  :,6 . MULLANA (SC),,,,
1 .,R. PRASAD,M,RPI,16694,52.53%
2 .,S. RAM,M,INC,12321,38.77%
3 .,D. PAUL,M,SWA,1721,5.42%
4 .,A. RAM,M,IND,1041,3.28%
5 .,S. SINGH,,M,RPI,476,1.35%
6 .,B. RAM,,M,IND,324,0.92%
7 .,P. SINGH,,M,IND,280,0.79%
8 .,H. SINGH,,M,IND,47,0.13%
9 .,G. R. A. GOLIWALA,,M,IND,35,0.10%
ELECTORS :,50480 VOTERS  : 36647,,POLL PERCENTAGE  :,72.60%,VALID VOTES :,35364
Constituency  :,68 . MUNDHAL KHURD,,,,,
1 .,J. SINGH,,M,IND,11163,32.00%
2 .,S. SINGH,,M,INC,9985,28.62%
3 .,D. SINGH,,M,IND,5013,14.37%
4 .,R. SINGH,,M,SSP,3048,8.74%
5 .,S. RAM,,M,IND,2794,8.01%
6 .,K. SINGH,,M,IND,1118,3.20%
7 .,S. SINGH,,M,IND,639,1.83%
8 .,B. LAL,,M,IND,526,1.51%
9 .,D. CHAND,,M,IND,427,1.22%
10 .,H. SINGH,,M,IND,172,0.49%
ELECTORS :,49067 VOTERS  : 36778,,POLL PERCENTAGE  :,74.95%,VALID VOTES :,34885
Constituency  :,69 . NARNAUND,,,,,
1 .,R. DATT,,M,INC,13417,35.03%
2 .,J. SINGH,,M,IND,10391,27.13%
3 .,V. SINGH,,M,BJS,5952,15.54%
4 .,B. NAND,,M,SSP,4581,11.96%
6 .,L. SINGH,,M,IND,1402,3.66%
5 .,H. SINGH,,M,IND,1402,3.66%
7 .,B. SINGH,,M,CPM,746,1.95%
8 .,R. SINGH,,M,IND,411,1.07%
ELECTORS :,54069 VOTERS  : 40529,,POLL PERCENTAGE  :,74.96%,VALID VOTES :,38302
Constituency  :,70 . HANSI,,,,,
1 .,H. SINGH,,M,INC,16435,43.23%
2 .,K. SINGH,,M,IND,6771,17.81%
3 .,A. CHAND,,M,SSP,5179,13.62%
4 .,B. RAM,,M,IND,4601,12.10%
5 .,R. MAL,,M,BJS,4587,12.07%
4 .,A. NAND,,,M,BJS,2851,8.92%
5 .,CHANDGI,,,M,IND,719,2.25%
6 .,K. RAM,,,M,RPI,503,1.57%
7 .,M. RAM,,,M,CPM,230,0.72%
8 .,R. LAL,,,M,IND,136,0.43%
ELECTORS :,,51851 VOTERS  :,34181,,POLL PERCENTAGE  :,65.92%,VALID VOTES :,31979
Constituency  :,,72 . ADAMPUR,,,,,,
1 .,H. SINGH,,,M,INC,16955,43.41%
2 .,R. SINGH,,,M,IND,16704,42.77%
3 .,N. RAM,,,M,SSP,2172,5.56%
4 .,S.BHAN,,,M,SWA,2040,5.22%
5 .,P. SINGH,,,M,IND,529,1.35%
6 .,SHANKAR,,,M,IND,238,0.61%
7 .,MANI RAM,,,M,IND,221,0.57%
8 .,I. SAIN,,,M,IND,200,0.51%
ELECTORS :,,54341 VOTERS  :,40396,,POLL PERCENTAGE  :,74.34%,VALID VOTES :,39059
Constituency  :,,73 . HISSAR,,,,,,
1 .,S. LATA,,,M,INC,11285,31.55%
2 .,B. RAI,,,M,IND,11061,30.93%
3 .,M. RAM,,,M,SSP,5446,15.23%
4 .,R. KUMAR,,,M,BJS,5335,14.92%
5 .,R. SINGH,,,M,IND,1680,4.70%
6 .,P. SINGH,,,M,IND,602,1.68%
7 .,R. KISHAN,,,M,IND,247,0.69%
8 .,F. CHAND,,,M,IND,111,0.31%
ELECTORS :,,54195 VOTERS  :,37803,,POLL PERCENTAGE  :,69.75%,VALID VOTES :,35767
Constituency  :,,74 . BARWALA (SC),,,,,,
1 .,P. SINGH,,,M,INC,19936,53.75%
2 .,A. SINGH,,,M,SSP,13423,36.19%
3 .,S. DASS,,,M,IND,2690,7.25%
4 .,K. SINGH,,,M,IND,723,1.95%
5 .,S. RAM,,,M,IND,321,0.87%
ELECTORS :,,54215 VOTERS  :,38725,,POLL PERCENTAGE  :,71.43%,VALID VOTES :,37093
No.,CANDIDATE,,SEX,PARTY,VOTES,%
6 .,T. RAM,,M,IND,445,1.17%
ELECTORS :,52559 VOTERS  : 39804,,POLL PERCENTAGE  :,75.73%,VALID VOTES :,38018
Constituency  :,71 . BAWANIKHERA (SC),,,,,
1 .,J. NATH,,M,INC,17179,53.72%
2 .,F. SINGH,,M,IND,6866,21.47%
3 .,CHARANJI,,M,SSP,3495,10.93%
ELECTORS :,54215 VOTERS  :,,38725,POLL PERCENTAGE  :,71.43%,VALID VOTES :,37093
Constituency  :,75 . TOHANA,,,,,,
1 .,H. SINGH,,,M,INC,19196,51.90%
2 .,S. SINGH,,,M,SSP,13534,36.59%
3 .,M. SINGH,,,M,IND,2602,7.04%
4 .,J. RAM,,,M,IND,1653,4.47%
ELECTORS :,56174 VOTERS  :,,39364,POLL PERCENTAGE  :,70.08%,VALID VOTES :,36985
Constituency  :,76 . FATEHABAD,,,,,,
No.,CANDIDATE,,SEX,PARTY,VOTES,%
1 .,G. RAI,,M,INC,22830,52.09%
2 .,M. RAM,,M,IND,9660,22.04%
3 .,B. SINGH,,M,IND,8422,19.22%
4 .,K. RAM,,M,BJS,1253,2.86%
5 .,N. DASS,,M,CPI,1069,2.44%
6 .,MANOHAR,,M,RPI,362,0.83%
7 .,K. RAM,,M,IND,234,0.53%
ELECTORS :,62481 VOTERS  :,46174,POLL PERCENTAGE  :,73.90%,VALID VOTES :,43830
Constituency  :,77 . BADOPAL,,,,,
1 .,M. RAM,,M,INC,27034,65.96%
2 .,C. LAL,,M,IND,9289,22.66%
3 .,S. BAKHSH,,M,RPI,3346,8.16%
4 .,R. SWARUP,,M,PSP,854,2.08%
5 .,S. KARAN,,M,IND,461,1.12%
ELECTORS :,54040 VOTERS  :,42211,POLL PERCENTAGE  :,78.11%,VALID VOTES :,40984
Constituency  :,78 . SIRSA,,,,,
1 .,L. DASS,,M,BJS,18805,51.25%
2 .,S. RAM,,M,INC,13738,37.44%
3 .,S. LAL,,M,SSP,2539,6.92%
4 .,M. PARTAP,,M,IND,1612,4.39%
ELECTORS :,54570 VOTERS  :,38077,POLL PERCENTAGE  :,69.78%,VALID VOTES :,36694
Constituency  :,79 . RORI,,,,,
1 .,P. S. DASS,,M,INC,18432,43.51%
2 .,D. SINGH,,M,IND,15260,36.02%
3 .,K. RAM,,M,IND,8669,20.46%
ELECTORS :,62735 VOTERS  :,44024,POLL PERCENTAGE  :,70.17%,VALID VOTES :,42361
Constituency  :,80 . DABWALI (SC),,,,,
1 .,K. RAM,,M,INC,15221,46.41%
2 .,P. CHANDER,,M,IND,14351,43.75%
3 .,M. RAM,,M,PSP,1502,4.58%
4 .,D. SINGH,,M,IND,1243,3.79%
5 .,BEGAN,,F,IND,483,1.47%
ELECTORS :,53928 VOTERS  :,34947,POLL PERCENTAGE  :,64.80%,VALID VOTES :,32800
Constituency  :,81 . ELLENABAD,,,,,
1 .,P. SINGH,,M,INC,20208,51.18%
2 .,L. CHAND,,M,IND,17561,44.47%
3 .,M. RAM,,M,BJS,748,1.89%
4 .,B. LAL,,M,IND,668,1.69%
5 .,P. SINGH,,M,IND,301,0.76%
ELECTORS :,56092 VOTERS  :,40710,POLL PERCENTAGE  :,72.58%,VALID VOTES :,39486
